,Energy Consumption,Wind Velocity,Sun Duration,Air Temperature,Precipitation Amount
2015-01-01 03:00:00,39936.75,6.0,0.0,3.5,0.0
2015-01-01 04:00:00,39272.5,6.7,0.0,2.6,0.0
2015-01-01 05:00:00,37850.25,5.6,0.0,2.2,0.0
2015-01-01 06:00:00,38098.5,5.7,0.0,2.1,0.0
2015-01-01 07:00:00,38792.5,5.5,0.0,2.7,0.0
2015-01-01 08:00:00,41406.25,6.1,0.0,2.3,0.0
2015-01-01 09:00:00,44266.5,4.7,0.0,2.4,0.0
2015-01-01 10:00:00,47206.25,4.9,0.0,2.4,0.0
2015-01-01 11:00:00,48502.25,5.4,2.0,3.5,0.0
2015-01-01 12:00:00,47527.75,6.4,0.0,4.5,0.0
2015-01-01 13:00:00,46772.0,6.0,0.0,4.4,0.0
2015-01-01 14:00:00,46733.5,5.3,10.0,4.3,0.0
2015-01-01 15:00:00,49116.75,4.9,0.0,3.2,0.0
2015-01-01 16:00:00,53624.25,4.7,0.0,1.5,0.0
2015-01-01 17:00:00,54305.25,5.6,0.0,1.7,0.0
2015-01-01 18:00:00,53634.5,5.7,0.0,1.1,0.0
2015-01-01 19:00:00,51435.75,5.2,0.0,1.1,0.0
2015-01-01 20:00:00,50091.75,5.3,0.0,1.3,0.0
2015-01-02 03:00:00,42468.5,7.1,0.0,3.4,0.0
2015-01-02 04:00:00,43863.75,8.1,0.0,4.1,0.0
2015-01-02 05:00:00,46318.75,8.0,0.0,4.4,0.0
2015-01-02 06:00:00,50579.25,7.8,0.0,4.3,0.1
2015-01-02 07:00:00,54583.25,7.5,0.0,2.9,0.9
2015-01-02 08:00:00,57713.25,7.9,0.0,3.1,0.3
2015-01-02 09:00:00,59730.75,7.9,0.0,3.5,0.2
2015-01-02 10:00:00,61311.5,8.2,0.0,4.1,0.0
2015-01-02 11:00:00,61503.75,6.8,6.0,4.6,0.0
2015-01-02 12:00:00,60480.5,9.8,4.0,6.6,0.0
2015-01-02 13:00:00,59254.25,10.0,9.0,7.4,0.0
2015-01-02 14:00:00,58552.5,9.0,9.0,7.2,0.1
2015-01-02 15:00:00,59910.25,7.4,0.0,6.9,0.0
2015-01-02 16:00:00,62960.25,9.4,0.0,6.2,0.0
2015-01-02 17:00:00,63258.75,9.5,0.0,5.9,0.0
2015-01-02 18:00:00,61549.0,7.0,0.0,5.2,0.0
2015-01-02 19:00:00,57719.5,7.9,0.0,5.8,0.0
2015-01-02 20:00:00,55208.0,9.7,0.0,5.9,0.0
2015-01-03 03:00:00,40511.75,9.0,0.0,4.5,0.0
2015-01-03 04:00:00,40922.0,8.1,0.0,4.3,0.0
2015-01-03 05:00:00,42200.0,8.0,0.0,3.5,0.0
2015-01-03 06:00:00,44595.5,8.3,0.0,3.5,0.0
2015-01-03 07:00:00,47848.5,8.0,0.0,3.0,0.0
2015-01-03 08:00:00,51335.0,8.9,0.0,3.1,0.0
2015-01-03 09:00:00,53980.0,8.6,0.0,3.2,0.0
2015-01-03 10:00:00,56019.25,9.4,0.0,4.2,0.0
2015-01-03 11:00:00,56022.25,9.1,0.0,4.9,0.0
2015-01-03 12:00:00,55898.25,8.8,0.0,5.1,0.0
2015-01-03 13:00:00,54996.0,8.6,0.0,4.8,0.0
2015-01-03 14:00:00,54869.75,8.9,0.0,4.7,0.0
2015-01-03 15:00:00,57122.0,6.8,0.0,4.3,0.0
2015-01-03 16:00:00,60276.75,7.4,0.0,3.9,0.0
2015-01-03 17:00:00,60626.75,7.5,0.0,3.8,0.0
2015-01-03 18:00:00,59285.25,7.5,0.0,3.7,0.0
2015-01-03 19:00:00,55267.25,7.2,0.0,3.5,0.0
2015-01-03 20:00:00,52721.75,7.6,0.0,3.4,0.0
2015-01-04 03:00:00,40328.5,7.8,0.0,3.8,0.0
2015-01-04 04:00:00,39899.25,7.5,0.0,3.2,0.0
2015-01-04 05:00:00,39316.25,8.2,0.0,3.3,0.0
2015-01-04 06:00:00,41820.0,8.0,0.0,3.1,0.0
2015-01-04 07:00:00,44653.25,8.0,0.0,3.3,0.0
2015-01-04 08:00:00,47858.5,8.1,0.0,3.0,0.0
2015-01-04 09:00:00,51218.5,9.1,45.0,3.0,0.0
2015-01-04 10:00:00,54499.75,7.8,60.0,3.7,0.0
2015-01-04 11:00:00,54814.0,7.2,60.0,4.2,0.0
2015-01-04 12:00:00,53261.75,8.2,55.0,4.7,0.0
2015-01-04 13:00:00,51518.75,6.3,52.0,5.2,0.0
2015-01-04 14:00:00,51112.5,6.1,44.0,5.0,0.0
2015-01-04 15:00:00,53144.25,7.8,31.0,4.0,0.0
2015-01-04 16:00:00,57620.5,6.1,0.0,3.7,0.0
2015-01-04 17:00:00,58718.0,6.6,0.0,2.8,0.0
2015-01-04 18:00:00,57272.0,6.1,0.0,3.2,0.0
2015-01-04 19:00:00,54703.0,6.2,0.0,2.7,0.0
2015-01-04 20:00:00,53218.25,6.8,0.0,2.1,0.0
2015-01-05 03:00:00,44969.25,6.3,0.0,2.8,0.1
2015-01-05 04:00:00,48337.0,6.1,0.0,2.9,0.1
2015-01-05 05:00:00,54207.0,8.5,0.0,3.1,0.1
2015-01-05 06:00:00,60386.75,6.9,0.0,3.2,0.2
2015-01-05 07:00:00,63924.25,7.5,0.0,3.0,0.1
2015-01-05 08:00:00,65156.75,8.2,0.0,3.1,0.0
2015-01-05 09:00:00,66469.25,8.4,0.0,3.1,0.2
2015-01-05 10:00:00,67602.25,8.6,0.0,3.5,0.1
2015-01-05 11:00:00,67636.0,9.3,0.0,3.4,0.0
2015-01-05 12:00:00,66802.0,8.1,0.0,3.5,0.0
2015-01-05 13:00:00,65685.5,6.8,0.0,3.4,0.0
2015-01-05 14:00:00,64962.0,6.3,0.0,3.5,0.0
2015-01-05 15:00:00,66092.75,6.0,0.0,3.2,0.4
2015-01-05 16:00:00,69742.25,6.2,0.0,3.1,0.4
2015-01-05 17:00:00,69720.0,4.8,0.0,3.1,0.1
2015-01-05 18:00:00,67962.0,4.9,0.0,3.1,0.0
2015-01-05 19:00:00,63636.5,4.2,0.0,3.1,0.0
2015-01-05 20:00:00,60590.0,4.0,0.0,3.0,0.0
2015-01-06 03:00:00,48621.75,1.4,0.0,2.3,0.0
2015-01-06 04:00:00,50383.75,0.6,0.0,2.3,0.0
2015-01-06 05:00:00,54532.75,1.3,0.0,2.2,0.2
2015-01-06 06:00:00,59774.75,1.2,0.0,2.1,0.1
2015-01-06 07:00:00,62364.0,0.8,0.0,2.2,0.0
2015-01-06 08:00:00,63721.25,1.5,0.0,2.3,0.0
2015-01-06 09:00:00,65305.25,2.0,0.0,2.4,0.0
2015-01-06 10:00:00,66568.5,3.6,0.0,2.1,0.0
2015-01-06 11:00:00,66469.75,3.0,0.0,1.7,0.0
2015-01-06 12:00:00,65354.75,3.9,0.0,1.7,0.0
2015-01-06 13:00:00,63664.75,3.7,0.0,1.7,0.0
2015-01-06 14:00:00,63218.25,4.0,0.0,1.7,0.0
2015-01-06 15:00:00,64718.75,5.0,0.0,1.2,0.0
2015-01-06 16:00:00,68942.75,4.4,0.0,0.8,0.0
2015-01-06 17:00:00,68904.0,5.0,0.0,0.3,0.0
2015-01-06 18:00:00,67558.25,5.7,0.0,0.3,0.0
2015-01-06 19:00:00,64011.75,6.0,0.0,0.0,0.0
2015-01-06 20:00:00,61251.0,4.4,0.0,-0.1,0.0
2015-01-07 03:00:00,49565.0,4.3,0.0,-0.1,0.0
2015-01-07 04:00:00,53033.75,4.2,0.0,-0.9,0.0
2015-01-07 05:00:00,60785.75,4.5,0.0,-0.6,0.0
2015-01-07 06:00:00,67805.25,4.3,0.0,0.5,0.0
2015-01-07 07:00:00,70909.5,4.2,0.0,1.2,0.0
2015-01-07 08:00:00,71157.0,4.2,0.0,1.5,0.1
2015-01-07 09:00:00,72276.25,4.8,14.0,2.3,0.1
2015-01-07 10:00:00,73371.75,4.7,60.0,3.4,0.0
2015-01-07 11:00:00,73047.5,4.7,60.0,4.4,0.0
2015-01-07 12:00:00,72257.75,4.9,34.0,4.9,0.0
2015-01-07 13:00:00,71100.25,4.7,20.0,5.0,0.1
2015-01-07 14:00:00,70205.25,4.9,30.0,4.4,0.2
2015-01-07 15:00:00,70844.75,4.9,1.0,4.9,0.0
2015-01-07 16:00:00,74556.75,4.4,0.0,4.3,0.0
2015-01-07 17:00:00,74243.0,4.0,0.0,3.0,0.0
2015-01-07 18:00:00,72368.0,4.8,0.0,2.4,0.0
2015-01-07 19:00:00,68216.75,4.9,0.0,1.8,0.0
2015-01-07 20:00:00,64957.0,5.3,0.0,1.1,0.0
2015-01-08 03:00:00,52169.75,5.3,0.0,0.7,0.0
2015-01-08 04:00:00,55033.25,5.0,0.0,1.1,0.0
2015-01-08 05:00:00,62761.75,4.5,0.0,1.3,0.0
2015-01-08 06:00:00,69849.0,4.2,0.0,1.6,0.0
2015-01-08 07:00:00,72621.75,4.9,0.0,1.9,0.0
2015-01-08 08:00:00,72598.0,5.3,0.0,2.3,0.0
2015-01-08 09:00:00,73541.75,5.5,0.0,2.5,0.0
2015-01-08 10:00:00,74738.5,5.5,0.0,2.8,0.3
2015-01-08 11:00:00,74060.25,5.7,0.0,3.4,0.1
2015-01-08 12:00:00,73264.5,5.1,0.0,4.0,0.0
2015-01-08 13:00:00,72202.75,6.3,0.0,4.6,0.2
2015-01-08 14:00:00,71707.5,5.0,0.0,4.9,0.0
2015-01-08 15:00:00,72123.75,5.5,0.0,5.2,0.0
2015-01-08 16:00:00,74259.0,6.2,0.0,5.4,0.1
2015-01-08 17:00:00,73550.25,6.1,0.0,5.6,1.3
2015-01-08 18:00:00,71651.5,6.2,0.0,5.7,1.6
2015-01-08 19:00:00,67289.0,6.3,0.0,6.0,1.4
2015-01-08 20:00:00,63730.5,6.7,0.0,6.3,0.9
2015-01-09 03:00:00,51088.25,7.2,0.0,4.4,0.0
2015-01-09 04:00:00,54445.0,8.2,0.0,4.8,0.0
2015-01-09 05:00:00,62497.5,6.0,0.0,4.8,0.0
2015-01-09 06:00:00,69597.75,7.6,0.0,5.0,0.0
2015-01-09 07:00:00,73224.0,7.6,0.0,5.0,0.0
2015-01-09 08:00:00,73594.0,7.1,0.0,5.4,0.0
2015-01-09 09:00:00,74310.25,8.6,0.0,6.0,0.0
2015-01-09 10:00:00,74909.75,8.5,0.0,6.7,0.0
2015-01-09 11:00:00,74024.75,10.6,0.0,7.4,0.0
2015-01-09 12:00:00,72353.5,12.1,15.0,8.7,0.0
2015-01-09 13:00:00,70758.5,13.6,1.0,7.8,0.1
2015-01-09 14:00:00,70283.75,10.9,0.0,7.3,1.5
2015-01-09 15:00:00,70954.75,10.4,0.0,6.8,4.3
2015-01-09 16:00:00,73508.5,7.3,0.0,5.0,0.4
2015-01-09 17:00:00,72683.75,9.5,0.0,4.8,4.1
2015-01-09 18:00:00,70039.5,6.6,0.0,5.5,0.2
2015-01-09 19:00:00,65414.0,10.0,0.0,7.4,0.0
2015-01-09 20:00:00,62062.5,9.8,0.0,8.0,0.0
2015-01-10 03:00:00,46859.75,3.3,0.0,5.5,0.6
2015-01-10 04:00:00,47108.0,3.7,0.0,5.7,1.1
2015-01-10 05:00:00,48001.0,5.4,0.0,6.3,1.2
2015-01-10 06:00:00,51491.25,8.4,0.0,9.9,0.4
2015-01-10 07:00:00,55770.5,7.5,0.0,11.1,0.1
