STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
       3897;2006081803;   10;  0.00;eor
       3897;2006081804;   10;  0.00;eor
       3897;2006081805;   10;  0.00;eor
       3897;2006081806;   10; 16.00;eor
       3897;2006081807;   10; 57.00;eor
       3897;2006081808;   10; 60.00;eor
       3897;2006081809;   10; 52.00;eor
       3897;2006081810;   10; 15.00;eor
       3897;2006081811;   10;  0.00;eor
       3897;2006081812;   10; 28.00;eor
       3897;2006081813;   10;  8.00;eor
       3897;2006081814;   10;  0.00;eor
       3897;2006081815;   10;  0.00;eor
       3897;2006081816;   10;  0.00;eor
       3897;2006081817;   10;  0.00;eor
       3897;2006081818;   10;  0.00;eor
       3897;2006081819;   10;  0.00;eor
       3897;2006081820;   10;  0.00;eor
       3897;2006081903;   10;  0.00;eor
       3897;2006081904;   10;  0.00;eor
       3897;2006081905;   10;  0.00;eor
       3897;2006081906;   10; 21.00;eor
       3897;2006081907;   10; 14.00;eor
       3897;2006081908;   10; 58.00;eor
       3897;2006081909;   10; 60.00;eor
       3897;2006081910;   10; 60.00;eor
       3897;2006081911;   10; 60.00;eor
       3897;2006081912;   10; 60.00;eor
       3897;2006081913;   10; 60.00;eor
       3897;2006081914;   10; 56.00;eor
       3897;2006081915;   10; 42.00;eor
       3897;2006081916;   10; 60.00;eor
       3897;2006081917;   10; 26.00;eor
       3897;2006081918;   10;  0.00;eor
       3897;2006081919;   10;  0.00;eor
       3897;2006081920;   10;  0.00;eor
       3897;2006082003;   10;  0.00;eor
       3897;2006082004;   10;  0.00;eor
       3897;2006082005;   10;  0.00;eor
       3897;2006082006;   10;  0.00;eor
       3897;2006082007;   10;  0.00;eor
       3897;2006082008;   10; 18.00;eor
       3897;2006082009;   10; 25.00;eor
       3897;2006082010;   10; 46.00;eor
       3897;2006082011;   10; 56.00;eor
       3897;2006082012;   10; 56.00;eor
       3897;2006082013;   10; 41.00;eor
       3897;2006082014;   10; 34.00;eor
       3897;2006082015;   10;  0.00;eor
       3897;2006082016;   10; 17.00;eor
       3897;2006082017;   10; 47.00;eor
       3897;2006082018;   10; 16.00;eor
       3897;2006082019;   10;  0.00;eor
       3897;2006082020;   10;  0.00;eor
       3897;2006082103;   10;  0.00;eor
       3897;2006082104;   10;  0.00;eor
       3897;2006082105;   10;  0.00;eor
       3897;2006082106;   10;  0.00;eor
       3897;2006082107;   10;  0.00;eor
       3897;2006082108;   10;  0.00;eor
       3897;2006082109;   10;  8.00;eor
       3897;2006082110;   10; 28.00;eor
       3897;2006082111;   10; 16.00;eor
       3897;2006082112;   10;  0.00;eor
       3897;2006082113;   10;  2.00;eor
       3897;2006082114;   10;  0.00;eor
       3897;2006082115;   10; 20.00;eor
       3897;2006082116;   10;  5.00;eor
       3897;2006082117;   10; 16.00;eor
       3897;2006082118;   10;  0.00;eor
       3897;2006082119;   10;  0.00;eor
       3897;2006082120;   10;  0.00;eor
       3897;2006082203;   10;  0.00;eor
       3897;2006082204;   10;  0.00;eor
       3897;2006082205;   10;  0.00;eor
       3897;2006082206;   10;  0.00;eor
       3897;2006082207;   10;  0.00;eor
       3897;2006082208;   10;  0.00;eor
       3897;2006082209;   10;  0.00;eor
       3897;2006082210;   10; 30.00;eor
       3897;2006082211;   10;  4.00;eor
       3897;2006082212;   10;  1.00;eor
       3897;2006082213;   10; 43.00;eor
       3897;2006082214;   10; 44.00;eor
       3897;2006082215;   10; 38.00;eor
       3897;2006082216;   10;  4.00;eor
       3897;2006082217;   10; 60.00;eor
       3897;2006082218;   10;  2.00;eor
       3897;2006082219;   10;  0.00;eor
       3897;2006082220;   10;  0.00;eor
       3897;2006082303;   10;  0.00;eor
       3897;2006082304;   10;  0.00;eor
       3897;2006082305;   10;  7.00;eor
       3897;2006082306;   10;  0.00;eor
       3897;2006082307;   10;  0.00;eor
       3897;2006082308;   10;  7.00;eor
       3897;2006082309;   10;  0.00;eor
       3897;2006082310;   10;  1.00;eor
       3897;2006082311;   10;  1.00;eor
       3897;2006082312;   10;  0.00;eor
       3897;2006082313;   10;  2.00;eor
       3897;2006082314;   10;  9.00;eor
       3897;2006082315;   10;  0.00;eor
       3897;2006082316;   10; 29.00;eor
       3897;2006082317;   10; 41.00;eor
       3897;2006082318;   10; 56.00;eor
       3897;2006082319;   10;  4.00;eor
       3897;2006082320;   10;  0.00;eor
       3897;2006082403;   10;  0.00;eor
       3897;2006082404;   10;  0.00;eor
       3897;2006082405;   10;  0.00;eor
       3897;2006082406;   10;  0.00;eor
       3897;2006082407;   10;  0.00;eor
       3897;2006082408;   10;  0.00;eor
       3897;2006082409;   10; 42.00;eor
       3897;2006082411;   10; 60.00;eor
       3897;2006082412;   10; 60.00;eor
       3897;2006082413;   10; 60.00;eor
       3897;2006082414;   10; 60.00;eor
       3897;2006082415;   10; 60.00;eor
       3897;2006082416;   10; 60.00;eor
       3897;2006082417;   10; 60.00;eor
       3897;2006082418;   10; 44.00;eor
       3897;2006082419;   10;  0.00;eor
       3897;2006082420;   10;  0.00;eor
       3897;2006082503;   10;  0.00;eor
       3897;2006082504;   10;  0.00;eor
       3897;2006082505;   10;  0.00;eor
       3897;2006082506;   10; 11.00;eor
       3897;2006082507;   10;  0.00;eor
       3897;2006082508;   10;  0.00;eor
       3897;2006082509;   10;  0.00;eor
       3897;2006082510;   10;  0.00;eor
       3897;2006082511;   10;  1.00;eor
       3897;2006082512;   10;  0.00;eor
       3897;2006082513;   10;  0.00;eor
       3897;2006082514;   10;  0.00;eor
       3897;2006082515;   10;  0.00;eor
       3897;2006082516;   10;  0.00;eor
       3897;2006082517;   10;  0.00;eor
       3897;2006082518;   10;  0.00;eor
       3897;2006082519;   10;  0.00;eor
       3897;2006082520;   10;  0.00;eor
       3897;2006082603;   10;  0.00;eor
       3897;2006082604;   10;  0.00;eor
       3897;2006082605;   10;  0.00;eor
       3897;2006082606;   10;  0.00;eor
       3897;2006082607;   10;  0.00;eor
       3897;2006082608;   10;  0.00;eor
